id,equipment_id,maintenance_type,description,duration_hours,labor_cost,material_cost,total_cost,health_score_before,health_score_after,technician,performed_at
mh0204,eq033,preventive,Oil change and lubrication,6.8,694.84,588.62,2933.79,42.33,64.67,TECH002,2024-08-02T16:16:37.229551
mh0205,eq033,emergency,Component replacement,4.8,2868.76,1205.16,3100.01,61.27,75.06,TECH012,2025-12-04T16:16:37.229551
mh0206,eq043,corrective,Full inspection,7.1,917.02,524.71,2426.7,70.65,92.18,TECH006,2026-04-11T16:16:37.229551
mh0207,eq028,corrective,System reset and calibration,4.6,2992.13,1720.74,2473.08,46.33,76.3,TECH011,2024-09-23T16:16:37.229551
mh0208,eq015,emergency,Emergency repair,2.1,2414.27,1867.06,1792.58,73.05,89.52,TECH008,2025-05-14T16:16:37.229551
mh0209,eq002,corrective,Emergency repair,0.6,837.71,1802.58,728.25,78.39,88.4,TECH004,2025-04-26T16:16:37.229551
mh0210,eq044,corrective,Emergency repair,4.3,1926.67,1228.9,1105.43,74.23,84.66,TECH008,2025-12-21T16:16:37.229551
mh0211,eq037,preventive,Component replacement,2.4,1250.76,1226.88,3146.98,46.24,61.54,TECH004,2025-07-29T16:16:37.229551
mh0212,eq011,corrective,Emergency repair,6.6,738.41,1356.06,860.7,68.94,94.8,TECH013,2026-05-10T16:16:37.229551
mh0213,eq049,corrective,System reset and calibration,7.1,1585.76,1874.44,1218.32,55.26,80.86,TECH013,2024-12-15T16:16:37.229551
mh0214,eq000,emergency,Full inspection,0.9,1810.96,774.77,3129.13,69.91,96.9,TECH006,2025-12-08T16:16:37.229551
mh0215,eq043,emergency,Full inspection,7.8,2382.1,1235.46,1087.36,67.91,80.97,TECH007,2025-03-01T16:16:37.229551
mh0216,eq021,preventive,Full inspection,4.8,623.28,918.54,1065.84,71.45,84.41,TECH009,2025-10-05T16:16:37.229551
mh0217,eq008,corrective,Emergency repair,2.0,1488.3,1228.4,3113.02,70.95,83.56,TECH012,2025-05-10T16:16:37.229551
mh0218,eq049,corrective,System reset and calibration,5.6,1940.05,402.55,2478.4,49.85,61.28,TECH006,2025-02-07T16:16:37.229551
mh0219,eq041,preventive,System reset and calibration,1.8,1374.29,1678.85,4152.02,47.62,64.51,TECH010,2025-08-06T16:16:37.229551
mh0220,eq014,preventive,System reset and calibration,1.7,2321.22,354.47,3880.2,57.62,86.1,TECH004,2026-03-01T16:16:37.229551
mh0221,eq018,preventive,System reset and calibration,5.7,778.19,1010.11,797.82,77.07,100,TECH004,2024-10-31T16:16:37.229551
mh0222,eq048,corrective,Emergency repair,4.1,2324.81,454.43,3704.65,48.48,69.4,TECH001,2025-01-24T16:16:37.229551
mh0223,eq002,corrective,Component replacement,1.0,1001.74,1453.75,1866.51,63.32,86.59,TECH008,2025-07-08T16:16:37.230549
mh0224,eq042,corrective,System reset and calibration,7.0,547.7,1761.34,3492.47,77.81,89.14,TECH004,2024-09-26T16:16:37.230549
mh0225,eq020,corrective,Emergency repair,4.5,966.04,1101.17,2669.34,60.34,84.54,TECH015,2025-07-04T16:16:37.230549
mh0226,eq033,corrective,System reset and calibration,4.2,2360.98,233.07,3642.54,40.86,55.81,TECH006,2024-07-29T16:16:37.230549
mh0227,eq032,corrective,Oil change and lubrication,5.2,2696.69,1802.72,4203.89,52.09,82.01,TECH001,2024-10-26T16:16:37.230549
mh0228,eq021,corrective,Component replacement,1.2,1455.52,1929.09,3333.53,77.96,92.48,TECH011,2025-01-06T16:16:37.230549
mh0229,eq009,corrective,System reset and calibration,7.3,1323.21,1176.02,1589.06,49.1,63.9,TECH003,2024-08-25T16:16:37.230549
mh0230,eq008,corrective,Emergency repair,7.3,1575.16,1836.2,4011.21,61.65,87.66,TECH011,2024-12-11T16:16:37.230549
mh0231,eq035,emergency,Oil change and lubrication,1.9,2598.81,461.94,826.78,76.68,93.03,TECH006,2024-12-27T16:16:37.230549
mh0232,eq047,emergency,System reset and calibration,1.6,969.83,436.78,812.65,78.45,94.51,TECH010,2025-05-31T16:16:37.230549
mh0233,eq014,emergency,Component replacement,2.2,565.21,343.06,4053.25,50.67,72.02,TECH003,2024-11-04T16:16:37.230549
mh0234,eq041,corrective,Component replacement,6.9,1728.61,447.52,1531.02,73.85,93.22,TECH001,2025-03-01T16:16:37.230549
mh0235,eq017,corrective,Component replacement,6.1,2970.61,1564.0,984.39,70.58,80.88,TECH015,2025-06-05T16:16:37.230549
mh0236,eq020,corrective,Component replacement,3.7,2440.54,1294.27,4244.61,74.69,94.48,TECH012,2025-05-05T16:16:37.230549
mh0237,eq036,emergency,Emergency repair,4.4,2689.46,1616.46,2938.79,55.77,84.55,TECH008,2025-09-11T16:16:37.230549
mh0238,eq015,emergency,Emergency repair,3.5,2337.93,1203.86,2919.34,73.08,83.93,TECH011,2025-04-17T16:16:37.230549
mh0239,eq019,corrective,Full inspection,1.7,1236.05,1854.26,3666.8,47.59,66.39,TECH015,2026-06-08T16:16:37.230549
mh0240,eq005,emergency,Emergency repair,1.3,2446.83,1888.12,3693.29,58.54,81.47,TECH003,2026-03-05T16:16:37.230549
mh0241,eq011,corrective,Emergency repair,7.2,2739.49,1788.59,1087.77,56.54,75.56,TECH006,2025-06-21T16:16:37.230549
mh0242,eq010,emergency,Oil change and lubrication,1.2,2265.57,1341.33,1066.82,65.94,90.17,TECH012,2024-08-19T16:16:37.230549
mh0243,eq039,preventive,Full inspection,4.6,609.77,507.59,2141.33,69.07,98.58,TECH014,2025-06-30T16:16:37.230549
mh0244,eq009,preventive,Oil change and lubrication,3.6,1273.8,1583.53,2618.91,74.51,87.75,TECH011,2024-09-21T16:16:37.230549
mh0245,eq012,preventive,Emergency repair,6.2,530.52,1095.73,2844.16,44.7,57.33,TECH013,2026-01-24T16:16:37.230549
mh0246,eq013,emergency,Full inspection,3.9,1604.69,1282.19,728.26,64.32,84.19,TECH015,2026-07-23T16:16:37.230549
mh0247,eq013,preventive,Component replacement,1.6,2133.19,266.1,4371.47,51.12,73.7,TECH011,2025-01-14T16:16:37.230549
mh0248,eq005,preventive,Oil change and lubrication,3.6,945.62,1409.76,3327.69,73.52,89.49,TECH012,2024-12-14T16:16:37.230549
mh0249,eq011,corrective,Emergency repair,3.2,589.6,1583.32,2088.13,63.8,89.54,TECH015,2024-08-11T16:16:37.230549
mh0250,eq035,preventive,System reset and calibration,4.0,805.06,1746.93,2115.6,72.81,97.98,TECH007,2025-07-05T16:16:37.230549
mh0251,eq003,preventive,Emergency repair,6.0,2072.45,1976.94,2779.75,48.39,62.57,TECH012,2025-02-06T16:16:37.230549
mh0252,eq018,corrective,Emergency repair,6.9,1149.15,1235.26,3379.95,77.36,100,TECH015,2024-11-16T16:16:37.230549
mh0253,eq046,emergency,Full inspection,4.2,949.77,1296.93,3746.92,64.57,84.5,TECH004,2026-03-18T16:16:37.230549
mh0254,eq007,emergency,Component replacement,6.5,2997.47,945.27,2135.31,44.73,64.03,TECH009,2026-07-27T16:16:37.230549
mh0255,eq044,corrective,System reset and calibration,6.4,1269.43,1112.04,2092.87,48.49,71.31,TECH001,2024-10-14T16:16:37.230549
mh0256,eq046,emergency,Emergency repair,7.7,2580.11,549.23,4285.45,67.43,84.26,TECH015,2026-04-03T16:16:37.230549
mh0257,eq002,emergency,Component replacement,4.1,2068.0,1805.7,3008.96,59.16,78.65,TECH006,2024-09-08T16:16:37.230549
mh0258,eq047,preventive,Emergency repair,2.7,2312.41,767.91,3004.31,71.36,89.64,TECH004,2025-04-11T16:16:37.230549
mh0259,eq022,preventive,Component replacement,2.6,577.93,1970.51,3394.0,67.42,93.41,TECH014,2024-12-14T16:16:37.230549
mh0260,eq038,preventive,System reset and calibration,5.8,1286.25,256.93,2479.64,62.84,80.63,TECH008,2026-02-09T16:16:37.230549
mh0261,eq019,preventive,Emergency repair,2.8,780.58,1612.9,4044.5,54.86,81.45,TECH015,2025-11-27T16:16:37.230549
mh0262,eq030,emergency,Component replacement,1.9,2809.09,1518.39,2951.6,57.75,68.25,TECH013,2026-04-25T16:16:37.230549
mh0263,eq033,emergency,Component replacement,2.0,591.38,897.66,4418.68,45.73,73.17,TECH002,2025-08-27T16:16:37.230549
mh0264,eq038,preventive,System reset and calibration,4.0,615.35,1137.04,3533.63,52.44,63.32,TECH005,2026-07-24T16:16:37.230549
mh0265,eq013,corrective,Component replacement,1.9,1191.62,774.47,2596.8,63.1,79.35,TECH002,2026-07-05T16:16:37.230549
mh0266,eq000,emergency,Emergency repair,4.4,1016.44,830.57,2069.49,45.97,61.45,TECH003,2025-10-22T16:16:37.230549
mh0267,eq010,preventive,System reset and calibration,5.1,1346.85,998.57,1259.32,72.16,93.64,TECH008,2024-08-06T16:16:37.230549
mh0268,eq005,corrective,Full inspection,1.8,1990.3,1266.96,4295.55,42.02,59.69,TECH012,2024-09-05T16:16:37.230549
mh0269,eq012,emergency,Emergency repair,1.1,2806.96,1575.97,3141.49,64.65,80.9,TECH002,2025-04-28T16:16:37.230549
mh0270,eq043,emergency,Full inspection,4.0,2868.62,458.7,4551.51,58.73,77.84,TECH005,2024-08-12T16:16:37.230549
mh0271,eq042,corrective,System reset and calibration,3.9,575.66,1055.6,2211.2,55.68,79.68,TECH008,2025-07-21T16:16:37.230549
mh0272,eq036,preventive,Emergency repair,1.3,2543.88,1634.16,2101.24,51.29,68.26,TECH011,2026-02-04T16:16:37.230549
mh0273,eq025,emergency,Full inspection,2.3,1109.23,486.24,2774.21,71.7,92.35,TECH002,2026-05-17T16:16:37.230549
mh0274,eq027,corrective,Emergency repair,6.4,1861.32,625.08,3549.23,48.33,72.21,TECH002,2025-08-14T16:16:37.230549
mh0275,eq037,emergency,Full inspection,2.9,744.13,1001.39,2024.55,62.97,82.7,TECH007,2024-07-30T16:16:37.230549
mh0276,eq038,corrective,System reset and calibration,4.2,2150.41,362.96,4213.24,63.93,87.64,TECH015,2026-05-18T16:16:37.230549
mh0277,eq000,preventive,Component replacement,3.9,1228.76,1308.03,2622.79,76.13,98.85,TECH004,2024-12-11T16:16:37.230549
mh0278,eq043,corrective,Full inspection,5.9,2787.79,1982.52,3205.73,75.1,91.09,TECH010,2024-08-30T16:16:37.230549
mh0279,eq018,preventive,System reset and calibration,7.3,2919.75,201.52,3108.13,56.17,68.72,TECH006,2025-02-21T16:16:37.230549
mh0280,eq015,corrective,Emergency repair,3.5,1295.32,889.02,2340.73,74.45,100,TECH009,2026-04-07T16:16:37.230549
mh0281,eq012,emergency,Full inspection,6.8,1400.72,951.02,1940.42,66.5,86.0,TECH014,2025-12-24T16:16:37.230549
mh0282,eq041,preventive,Component replacement,5.9,1716.75,986.12,4957.94,45.02,55.25,TECH002,2024-09-10T16:16:37.230549
mh0283,eq029,emergency,Emergency repair,7.5,2058.12,1017.91,2523.74,65.69,84.01,TECH014,2026-03-10T16:16:37.230549
mh0284,eq027,emergency,Oil change and lubrication,4.8,2617.01,626.15,2857.43,55.39,69.9,TECH007,2025-04-24T16:16:37.230549
mh0285,eq002,emergency,Full inspection,5.8,782.91,1066.76,3669.14,63.05,73.72,TECH003,2025-01-15T16:16:37.230549
mh0286,eq049,corrective,Full inspection,4.4,1808.39,1298.13,1754.49,79.34,100,TECH011,2025-02-04T16:16:37.230549
mh0287,eq040,emergency,Emergency repair,2.8,631.94,818.38,4047.67,78.42,89.98,TECH008,2024-09-17T16:16:37.230549
mh0288,eq046,corrective,Full inspection,3.1,2944.4,730.31,1420.29,60.51,79.89,TECH012,2025-04-20T16:16:37.230549
mh0289,eq036,corrective,Oil change and lubrication,5.2,1945.35,1231.15,3522.18,69.98,94.52,TECH005,2024-11-24T16:16:37.230549
mh0290,eq008,emergency,Oil change and lubrication,6.9,1194.62,438.57,1908.18,41.09,60.79,TECH014,2024-10-27T16:16:37.230549
mh0291,eq011,emergency,Component replacement,5.4,1424.42,515.72,4064.87,40.57,52.8,TECH004,2025-11-07T16:16:37.230549
mh0292,eq002,corrective,Oil change and lubrication,7.8,1988.86,1679.1,4301.74,47.23,67.78,TECH013,2025-03-19T16:16:37.230549
mh0293,eq028,emergency,Component replacement,2.1,2335.9,821.14,3461.72,70.81,85.57,TECH013,2025-06-01T16:16:37.230549
mh0294,eq030,corrective,Full inspection,6.1,2381.07,1158.54,2333.14,42.1,61.38,TECH012,2026-04-01T16:16:37.230549
mh0295,eq027,preventive,System reset and calibration,7.5,1622.05,1421.29,4835.58,58.98,71.89,TECH011,2025-06-24T16:16:37.230549
mh0296,eq022,corrective,Emergency repair,7.4,2645.89,802.94,1848.48,43.89,64.52,TECH002,2026-06-16T16:16:37.230549
mh0297,eq049,emergency,Component replacement,6.0,1971.81,550.87,2150.85,66.17,84.0,TECH012,2025-11-09T16:16:37.230549
mh0298,eq000,preventive,Oil change and lubrication,3.6,1813.16,1433.9,2211.52,52.53,62.74,TECH012,2026-01-25T16:16:37.230549
mh0299,eq039,preventive,Oil change and lubrication,7.5,2141.51,1703.83,4787.1,50.08,60.76,TECH011,2025-10-11T16:16:37.230549
